hd,jcd,rno,lane,regno,st_sec,st_is_f,st_is_late,st_penalized,st_observed,tenji_st_sec,tenji_is_f,tenji_f_over_sec,tenji_rank,st_rank,course_avg_st,course_first_rate,course_3rd_rate
20240129,16,11,1,4704,0.06,0,0,0,1,0.26,0,,2,3,0.13,68.9,93.1
20240129,16,11,2,4401,0.03,0,0,0,1,0.34,0,,4,2,0.15,18.6,76.7
20240129,16,11,3,3948,0.02,0,0,0,1,0.3,0,,3,1,0.17,16.1,41.9
20240129,16,11,4,3982,0.06,0,0,0,1,,1,0.01,5,3,0.16,11.1,27.7
20240129,16,11,5,4531,0.1,0,0,0,1,0.01,0,,1,4,0.16,4.0,46.0
20240129,16,11,6,3888,0.12,0,0,0,1,,1,0.01,5,5,0.17,0.0,25.0
20240129,16,12,1,4033,0.13,0,0,0,1,,1,0.08,3,2,0.12,84.6,90.7
20240129,16,12,2,3685,0.16,0,0,0,1,0.06,0,,2,5,0.14,16.6,68.7
20240129,16,12,3,4757,0.15,0,0,0,1,,1,0.02,3,4,0.17,23.8,64.2
20240129,16,12,4,4172,0.14,0,0,0,1,0.01,0,,1,3,0.14,8.8,61.7
20240129,16,12,5,4575,0.12,0,0,0,1,0.01,0,,1,1,0.12,12.8,58.9
20240129,16,12,6,4584,0.13,0,0,0,1,,1,0.03,3,2,0.14,2.7,44.4
20240129,16,1,1,3843,0.24,0,0,0,1,0.13,0,,4,3,0.17,55.2,92.1
20240129,16,1,2,3243,0.29,0,0,0,1,0.33,0,,6,5,0.18,6.9,17.2
20240129,16,1,3,3637,0.3,0,0,0,1,0.17,0,,5,6,0.18,4.8,39.0
20240129,16,1,4,4158,0.17,0,0,0,1,0.01,0,,1,1,0.16,11.6,48.8
20240129,16,1,5,4241,0.18,0,0,0,1,0.02,0,,2,2,0.17,0.0,28.5
20240129,16,1,6,5311,0.25,0,0,0,1,0.03,0,,3,4,0.2,0.0,6.6
20240129,16,2,1,3477,0.25,0,0,0,1,0.17,0,,4,1,0.19,18.5,59.2
20240129,16,2,2,3593,0.29,0,0,0,1,0.22,0,,6,4,0.17,0.0,44.8
20240129,16,2,3,4327,0.33,0,0,0,1,0.21,0,,5,6,0.19,11.9,47.6
20240129,16,2,4,3682,0.28,0,0,0,1,0.03,0,,1,3,0.18,0.0,31.0
20240129,16,2,5,3600,0.32,0,0,0,1,0.06,0,,2,5,0.24,3.5,25.0
20240129,16,2,6,4538,0.27,0,0,0,1,0.13,0,,3,2,0.17,0.0,16.6
20240129,16,3,1,3982,0.17,0,0,0,1,,0,,1,1,0.19,30.0,40.0
20240129,16,3,2,3081,0.19,0,0,0,1,,0,,1,2,0.17,3.2,38.7
20240129,16,3,3,4652,0.21,0,0,0,1,,0,,1,3,0.15,15.9,68.1
20240129,16,3,4,4803,0.28,0,0,0,1,,0,,1,5,0.2,0.0,55.5
20240129,16,3,5,5336,0.38,0,0,0,1,,0,,1,6,0.31,0.0,0.0
20240129,16,3,6,3832,0.22,0,0,0,1,,0,,1,4,0.2,8.7,26.0
20240129,16,4,1,3752,0.22,0,0,0,1,0.13,0,,3,2,0.19,38.4,69.2
20240129,16,4,2,3948,0.29,0,0,0,1,0.28,0,,5,4,0.18,7.4,37.0
20240129,16,4,3,4335,0.21,0,0,0,1,0.12,0,,2,1,0.11,13.8,66.6
20240129,16,4,4,3849,0.27,0,0,0,1,0.03,0,,1,3,0.11,27.5,67.5
20240129,16,4,5,5270,0.49,0,0,0,1,0.17,0,,4,6,0.18,7.6,15.3
20240129,16,4,6,5053,0.4,0,0,0,1,,1,0.08,6,5,0.19,3.8,23.0
20240129,16,5,1,4401,0.06,0,0,0,1,,0,,1,1,0.15,68.6,82.3
20240129,16,5,2,5269,0.1,0,0,0,1,,0,,1,3,0.21,0.0,50.0
20240129,16,5,3,4359,0.09,0,0,0,1,,0,,1,2,0.12,13.5,51.3
20240129,16,5,4,4839,0.1,0,0,0,1,,0,,1,3,0.16,11.9,45.2
20240129,16,5,5,5058,0.09,0,0,0,1,,0,,1,2,0.15,5.4,45.9
20240129,16,5,6,3637,0.11,0,0,0,1,,0,,1,4,0.19,0.0,29.7
20240129,16,6,1,4644,0.09,0,0,0,1,0.1,0,,2,1,0.17,51.0,72.3
20240129,16,6,2,4430,0.15,0,0,0,1,0.18,0,,5,3,0.18,20.8,70.8
20240129,16,6,3,4704,0.12,0,0,0,1,0.11,0,,3,2,0.13,14.2,69.6
20240129,16,6,4,3957,0.15,0,0,0,1,0.13,0,,4,3,0.19,4.4,53.3
20240129,16,6,5,5311,0.24,0,0,0,1,0.23,0,,6,4,0.0,0.0,0.0
20240129,16,6,6,3477,0.12,0,0,0,1,0.08,0,,1,2,0.19,0.0,26.0
20240129,16,7,1,3888,0.15,0,0,0,1,0.01,0,,1,5,0.15,54.7,86.7
20240129,16,7,2,5177,0.15,0,0,0,1,0.11,0,,2,5,0.18,4.3,34.7
20240129,16,7,3,3243,0.11,0,0,0,1,0.17,0,,4,4,0.17,4.3,13.0
20240129,16,7,4,4652,0.06,0,0,0,1,0.14,0,,3,1,0.13,34.6,61.2
20240129,16,7,5,3593,0.1,0,0,0,1,0.21,0,,6,3,0.19,0.0,28.5
20240129,16,7,6,5270,0.08,0,0,0,1,0.2,0,,5,2,0.21,0.0,2.5
20240129,16,8,1,4531,0.18,0,0,0,1,,1,0.11,5,3,0.12,77.3,84.9
20240129,16,8,2,3600,0.22,0,0,0,1,,1,0.01,5,4,0.19,2.7,55.5
20240129,16,8,3,4158,0.18,0,0,0,1,0.02,0,,2,3,0.16,9.0,54.5
20240129,16,8,4,4335,0.12,0,0,0,1,0.01,0,,1,2,0.11,30.7,51.2
20240129,16,8,5,5269,0.11,0,0,0,1,0.03,0,,3,1,0.18,0.0,44.4
20240129,16,8,6,5336,0.11,0,0,0,1,0.06,0,,4,1,0.26,0.0,0.0
20240129,16,9,1,3849,0.14,0,0,0,1,0.13,0,,3,1,0.12,70.6,93.1
20240129,16,9,2,4241,0.15,0,0,0,1,0.01,0,,1,2,0.19,8.5,48.5
20240129,16,9,3,4839,0.16,0,0,0,1,0.27,0,,5,3,0.14,20.0,57.1
20240129,16,9,4,4538,0.2,0,0,0,1,,1,0.04,6,5,0.15,23.3,56.6
20240129,16,9,5,4644,0.19,0,0,0,1,0.06,0,,2,4,0.15,2.8,40.0
20240129,16,9,6,4803,0.21,0,0,0,1,0.15,0,,4,6,0.22,0.0,20.0
20240129,19,10,1,3300,0.2,0,0,0,1,0.06,0,,3,4,0.15,73.7,88.5
20240129,19,10,2,3620,0.21,0,0,0,1,0.18,0,,5,5,0.19,10.5,39.4
20240129,19,10,3,4264,0.16,0,0,0,1,0.04,0,,1,3,0.16,15.3,76.9
20240129,19,10,4,3730,0.2,0,0,0,1,0.06,0,,3,4,0.16,8.1,27.0
20240129,19,10,5,4163,0.12,0,0,0,1,0.05,0,,2,1,0.18,0.0,34.2
20240129,19,10,6,4273,0.14,0,0,0,1,0.08,0,,4,2,0.19,0.0,31.5
20240129,19,11,1,4434,0.21,0,0,0,1,0.19,0,,5,6,0.16,61.3,95.4
20240129,19,11,2,4475,0.19,0,0,0,1,0.12,0,,3,5,0.15,15.9,70.4
20240129,19,11,3,3981,0.12,0,0,0,1,0.17,0,,4,2,0.17,5.2,42.1
20240129,19,11,4,3714,0.14,0,0,0,1,0.08,0,,2,3,0.15,5.2,47.3
20240129,19,11,5,4529,0.11,0,0,0,1,0.08,0,,2,1,0.14,4.6,48.8
20240129,19,11,6,4527,0.16,0,0,0,1,0.03,0,,1,4,0.22,0.0,15.3
20240129,19,12,1,4703,0.05,0,0,0,1,0.11,0,,3,2,0.13,71.7,96.2
20240129,19,12,2,4278,0.05,0,0,0,1,0.11,0,,3,2,0.14,22.5,72.5
20240129,19,12,3,3874,0.07,0,0,0,1,0.03,0,,1,3,0.13,12.8,69.2
20240129,19,12,4,4732,0.09,0,0,0,1,0.07,0,,2,5,0.12,9.0,68.1
20240129,19,12,5,4600,0.04,0,0,0,1,0.14,0,,4,1,0.14,4.7,33.3
20240129,19,12,6,4797,0.08,0,0,0,1,,1,0.04,5,4,0.15,9.3,32.5
20240129,19,1,1,4679,0.08,0,0,0,1,0.08,0,,3,1,0.14,45.8,66.6
20240129,19,1,2,4527,0.12,0,0,0,1,0.11,0,,4,3,0.17,12.1,48.4
20240129,19,1,3,4449,0.11,0,0,0,1,0.13,0,,6,2,0.19,0.0,23.5
20240129,19,1,4,4041,0.18,0,0,0,1,0.12,0,,5,6,0.21,0.0,41.9
20240129,19,1,5,4275,0.14,0,0,0,1,0.03,0,,2,5,0.19,2.4,24.3
20240129,19,1,6,4264,0.13,0,0,0,1,0.02,0,,1,4,0.18,6.6,31.1
20240129,19,2,1,3559,0.13,0,0,0,1,,1,0.05,4,3,0.15,45.4,81.8
20240129,19,2,2,3454,0.15,0,0,0,1,,1,0.13,4,5,0.15,5.1,46.1
20240129,19,2,3,5223,0.14,0,0,0,1,,1,0.11,4,4,0.24,0.0,12.5
20240129,19,2,4,4273,0.11,0,0,0,1,0.18,0,,2,2,0.18,8.1,48.9
20240129,19,2,5,3929,0.09,0,0,0,1,0.24,0,,3,1,0.14,2.1,36.1
20240129,19,2,6,3981,0.09,0,0,0,1,0.12,0,,1,1,0.19,0.0,6.9
20240129,19,3,1,3714,0.14,0,0,0,1,0.18,0,,3,1,0.15,29.0,77.4
20240129,19,3,2,4583,0.15,0,0,0,1,0.12,0,,1,2,0.13,4.4,51.1
20240129,19,3,3,3300,0.16,0,0,0,1,0.14,0,,2,3,0.15,7.6,53.8
20240129,19,3,4,5264,0.19,0,0,0,1,0.33,0,,5,5,0.22,11.1,33.3
20240129,19,3,5,4732,0.17,0,0,0,1,0.12,0,,1,4,0.13,3.1,43.7
20240129,19,3,6,4035,0.24,0,0,0,1,0.19,0,,4,6,0.2,2.7,10.8
20240129,19,4,1,4750,0.2,0,0,0,1,,0,,1,3,0.15,54.1,75.0
20240129,19,4,2,4529,0.17,0,0,0,1,,0,,1,1,0.11,25.0,72.5
20240129,19,4,3,5200,0.18,0,0,0,1,,0,,1,2,0.23,0.0,4.5
20240129,19,4,4,3620,0.21,0,0,0,1,,0,,1,4,0.17,11.7,33.3
20240129,19,4,5,3265,0.21,0,0,0,1,,0,,1,4,0.0,0.0,0.0
20240129,19,4,6,4278,0.21,0,0,0,1,,0,,1,4,0.16,4.0,40.0
20240129,19,5,1,4052,0.11,0,0,0,1,0.07,0,,1,1,0.16,70.3,84.3
20240129,19,5,2,4703,0.14,0,0,0,1,0.31,0,,5,2,0.12,27.9,79.0
20240129,19,5,3,3730,0.16,0,0,0,1,0.31,0,,5,4,0.17,12.2,46.9
20240129,19,5,4,4434,0.18,0,0,0,1,0.28,0,,4,5,0.17,8.8,73.3
20240129,19,5,5,4618,0.15,0,0,0,1,0.21,0,,3,3,0.16,5.0,50.0
20240129,19,5,6,4449,0.16,0,0,0,1,0.09,0,,2,4,0.16,0.0,11.7
20240129,19,6,1,3874,0.14,0,0,0,1,0.12,0,,3,5,0.13,69.8,90.5
20240129,19,6,2,4630,0.13,0,0,0,1,0.14,0,,4,4,0.15,11.7,67.6
20240129,19,6,3,4163,0.07,0,0,0,1,0.1,0,,2,1,0.17,11.4,63.9
20240129,19,6,4,5223,0.13,0,0,0,1,0.34,0,,6,4,0.2,0.0,5.5
20240129,19,6,5,4151,0.11,0,0,0,1,0.01,0,,1,2,0.18,3.4,17.2
20240129,19,6,6,4475,0.12,0,0,0,1,0.17,0,,5,3,0.17,2.4,39.0
20240129,19,7,1,4600,0.06,0,0,0,1,0.15,0,,3,1,0.13,74.0,96.3
20240129,19,7,2,4035,0.24,0,0,0,1,0.11,0,,1,5,0.19,10.0,44.0
20240129,19,7,3,5173,0.24,0,0,0,1,0.34,0,,6,5,0.17,11.1,29.6
20240129,19,7,4,4260,0.16,0,0,0,1,0.22,0,,4,3,0.16,15.2,54.3
20240129,19,7,5,3574,0.18,0,0,0,1,0.14,0,,2,4,0.28,0.0,50.0
20240129,19,7,6,3454,0.15,0,0,0,1,0.24,0,,5,2,0.2,0.0,20.0
20240129,19,8,1,3427,0.11,0,0,0,1,0.13,0,,4,2,0.16,69.7,86.0
20240129,19,8,2,3891,0.08,0,0,0,1,0.12,0,,3,1,0.16,4.0,32.6
20240129,19,8,3,4041,0.15,0,0,0,1,0.16,0,,5,4,0.19,5.5,30.5
20240129,19,8,4,4797,0.17,0,0,0,1,0.09,0,,2,5,0.16,20.5,64.7
20240129,19,8,5,5004,0.13,0,0,0,1,0.08,0,,1,3,0.15,5.8,35.2
20240129,19,8,6,5291,0.2,0,0,0,1,0.17,0,,6,6,0.21,0.0,0.0
20240129,19,9,1,3674,0.13,0,0,0,1,,0,,1,1,0.14,50.0,80.5
20240129,19,9,2,4246,0.24,0,0,0,1,,0,,1,5,0.18,8.1,51.3
20240129,19,9,3,4275,0.21,0,0,0,1,,0,,1,4,0.18,2.6,39.4
20240129,19,9,4,5118,0.19,0,0,0,1,,0,,1,3,0.19,0.0,27.7
20240129,19,9,5,4244,0.17,0,0,0,1,,0,,1,2,0.16,8.8,26.4
20240129,19,9,6,5264,0.19,0,0,0,1,,0,,1,3,0.22,0.8,4.4
